# RT Interface segments extracted from VTK
# Format: x1 y1 x2 y2
# Number of segments: 2914
0.10625000 0.21788773 0.10555078 0.21875000
0.10875000 0.21729034 0.10625000 0.21788773
0.10932048 0.21875000 0.10875000 0.21729034
0.13336901 0.21625000 0.13307504 0.21875000
0.13625000 0.21848495 0.13578759 0.21875000
0.13794973 0.21625000 0.13625000 0.21848495
0.13940245 0.21625000 0.13924541 0.21875000
0.14497633 0.21625000 0.14624999 0.21802156
0.14875001 0.21631093 0.14624999 0.21802156
0.15125000 0.21759191 0.14875001 0.21631093
0.15266009 0.21875000 0.15125000 0.21759191
0.15704411 0.21625000 0.15875000 0.21684660
0.16125000 0.21720377 0.15875000 0.21684660
0.16374999 0.21766989 0.16125000 0.21720377
0.16543634 0.21875000 0.16374999 0.21766989
0.16876124 0.21625000 0.17125000 0.21825284
0.17179520 0.21875000 0.17125000 0.21825284
0.20009258 0.21625000 0.20125000 0.21746701
0.20375000 0.21630368 0.20125000 0.21746701
0.20625000 0.21858676 0.20375000 0.21630368
0.20874999 0.21836261 0.20625000 0.21858676
0.21046235 0.21625000 0.20874999 0.21836261
0.22624999 0.21847744 0.22581214 0.21875000
0.22680010 0.21875000 0.22624999 0.21847744
0.24043790 0.21625000 0.24125001 0.21668519
0.24375001 0.21831948 0.24125001 0.21668519
0.24409024 0.21875000 0.24375001 0.21831948
0.25283071 0.21625000 0.25375000 0.21728291
0.25488091 0.21875000 0.25375000 0.21728291
0.26875001 0.21667203 0.26862308 0.21875000
0.26973447 0.21875000 0.26875001 0.21667203
0.31026480 0.21625000 0.31125000 0.21741274
0.31375000 0.21810302 0.31125000 0.21741274
0.31489661 0.21625000 0.31375000 0.21810302
0.00375000 0.21945556 0.00125000 0.22043043
0.00447737 0.21875000 0.00375000 0.21945556
0.00875000 0.22009824 0.00730486 0.22125000
0.00994200 0.22125000 0.00875000 0.22009824
0.01245878 0.21875000 0.01298111 0.22125000
0.01875000 0.22118521 0.01869459 0.22125000
0.01879367 0.22125000 0.01875000 0.22118521
0.03185567 0.21875000 0.03232627 0.22125000
0.04006403 0.21875000 0.04125000 0.22096169
0.04150995 0.22125000 0.04125000 0.22096169
0.05625000 0.21999891 0.05461244 0.22125000
0.05749984 0.21875000 0.05625000 0.21999891
0.06278276 0.21875000 0.06250056 0.22125000
0.07318161 0.21875000 0.07310737 0.22125000
0.07458524 0.21875000 0.07459779 0.22125000
0.10375000 0.22037400 0.10251029 0.22125000
0.10555078 0.21875000 0.10375000 0.22037400
0.10875000 0.21951480 0.10714757 0.22125000
0.10932048 0.21875000 0.10875000 0.21951480
0.13307504 0.21875000 0.13374999 0.21979252
0.13578759 0.21875000 0.13374999 0.21979252
0.13924541 0.21875000 0.14125000 0.22004773
0.14293617 0.22125000 0.14125000 0.22004773
0.15266009 0.21875000 0.15375000 0.21978004
0.15625000 0.22056885 0.15375000 0.21978004
0.15875000 0.22059147 0.15625000 0.22056885
0.15943432 0.22125000 0.15875000 0.22059147
0.16543634 0.21875000 0.16625001 0.21913794
0.16875000 0.21949825 0.16625001 0.21913794
0.17125000 0.21980034 0.16875000 0.21949825
0.17179520 0.21875000 0.17125000 0.21980034
