# Interface data for t = 10.600000
# Method: dalziel
# Grid: 160×200
# ANALYSIS VALIDITY SUMMARY
# Overall Status: VALID
# Cells across mixing layer: 120.0
0.0278937,0.2853937 0.0268648,0.2837500
0.0276490,0.2873510 0.0262500,0.2876447
0.0287167,0.2862500 0.0289881,0.2860119
0.0262500,0.2931480 0.0281686,0.2931686
0.0268456,0.2931544 0.0281834,0.2931834
0.0268314,0.2931686 0.0287500,0.2931896
0.0262500,0.3155668 0.0288453,0.3163453
0.0277783,0.3172217 0.0262500,0.3169333
0.0281089,0.3187500 0.0277783,0.3172217
0.0266485,0.3183515 0.0287500,0.3176646
0.0273889,0.3162500 0.0266485,0.3183515
0.0287500,0.3193910 0.0250330,0.3175330
0.0299683,0.3224683 0.0281089,0.3187500
0.0299277,0.1712500 0.0304926,0.1695074
0.0314270,0.1685730 0.0312500,0.1688257
0.0298794,0.1723794 0.0298557,0.1726443
0.0298686,0.1723686 0.0298039,0.1737500
0.0299277,0.1712500 0.0298686,0.1726314
0.0298104,0.1748104 0.0298156,0.1751844
0.0298134,0.1748134 0.0298220,0.1762500
0.0298039,0.1737500 0.0298126,0.1751874
0.0299703,0.1774703 0.0299734,0.1775266
0.0299646,0.1774646 0.0301465,0.1787500
0.0298220,0.1762500 0.0299767,0.1775233
0.0304299,0.1812500 0.0302599,0.1797401
0.0303259,0.1803259 0.0302569,0.1797431
0.0303211,0.1803211 0.0301465,0.1787500
0.0312500,0.1837307 0.0312609,0.1837609
0.0309834,0.1834834 0.0304299,0.1812500
0.0301584,0.2473416 0.0287500,0.2475508
0.0312500,0.2472659 0.0299111,0.2474111
0.0301105,0.2473895 0.0298826,0.2473826
0.0303306,0.2571694 0.0287500,0.2574556
0.0312500,0.2572990 0.0298980,0.2573980
0.0301181,0.2573819 0.0297708,0.2572708
0.0314027,0.2614027 0.0307813,0.2612500
0.0312500,0.2613880 0.0294061,0.2619061
0.0300234,0.2674766 0.0287500,0.2663628
0.0304923,0.2687500 0.0300234,0.2674766
0.0300507,0.2675507 0.0300497,0.2674503
0.0300497,0.2674503 0.0296500,0.2671500
0.0287500,0.2703015 0.0300239,0.2700239
0.0297712,0.2697712 0.0308360,0.2712500
